tweetid,tweet,created_time,author,language
1647736828169015297,Last Trade #Signal $BAKE 36.17% #MKR 78.63% $VET 5.01% $NEAR 29.32% $ADA 66.91% $BNX 79.06% $WAVES 74.22% $ARPA 87.35% $BLZ 0.78% $SAND 99.35% All Details on Bio Total Profit 556.83%,2023-04-16 23:00:47+00:00,Trading Sweetie 🦋,en
1647736828034678786,Last Trade #Signal $BAKE 36.17% #MKR 78.63% $VET 5.01% $NEAR 29.32% $ADA 66.91% $BNX 79.06% $WAVES 74.22% $ARPA 87.35% $BLZ 0.78% $SAND 99.35% All Details on Bio Total Profit 556.83%,2023-04-16 23:00:47+00:00,Trend Maker,en
1647724742189645830,"🟢🟢🟢🟢 The current price of one $MKR coin is: $796.23, +0.5402% change in the last hour, +3.64495% change in the last 24 hours. 24H Volume: $33,898,860. Market Cap: $715,362,241. #MKR #MakerDao",2023-04-16 22:12:46+00:00,MakerDao Live,en
1647723008122048512,Find moving cryptocurrencies with the most buyers by using https://t.co/LRb24FEYMt to track where most #ALTCOIN movement is happening! #BTC #ETH #RPL #CSPR #INJ #AVAX #ROSE #ICP #NEO #SOL #BNB #RNDR #LDO #LTC #ATOM #ZIL #MKR #DASH #FTM #SNX https://t.co/RvKQVmb6Qp,2023-04-16 22:05:53+00:00,Adz Hickman,en
1647709672948809730,"🟢🟢 The current price of one $MKR coin is: $792.14, +0.22748% change in the last hour, +2.94521% change in the last 24 hours. 24H Volume: $32,740,379. Market Cap: $714,071,974. #MKR #MakerDao",2023-04-16 21:12:53+00:00,MakerDao Live,en
1647694575673245698,"🟢🟢 The current price of one $MKR coin is: $791.64, +0.58178% change in the last hour, +2.79521% change in the last 24 hours. 24H Volume: $31,340,204. Market Cap: $713,561,201. #MKR #MakerDao",2023-04-16 20:12:54+00:00,MakerDao Live,en
1647693971513016321,#MKR short https://t.co/AmbkdpnwZj,2023-04-16 20:10:30+00:00,sam,en
1647692810932613122,#CRYPTO #CURRENCIES are moving! Get on https://t.co/LRb24FEYMt to TRACK which #ALTCOIN have the most buyers. #BTC #ETH #CSPR #RPL #INJ #ICP #NEO #LTC #BNB #RNDR #ROSE #DASH #LDO #BAT #SHIB #XDC #ATOM #SOL #MKR #CAKE https://t.co/uEPUt3ZytE,2023-04-16 20:05:53+00:00,Adz Hickman,en
1647682557935321088,"🟢🟢 The current price of one $MKR coin is: $788.36, +0.04227% change in the last hour, +2.07107% change in the last 24 hours. 24H Volume: $30,625,546. Market Cap: $710,210,191. #MKR #MakerDao",2023-04-16 19:25:08+00:00,MakerDao Live,en
1647670762877140992,"🟢🟢 The current price of one $MKR coin is: $786.32, +0.61791% change in the last hour, +1.71629% change in the last 24 hours. 24H Volume: $30,464,963. Market Cap: $709,042,046. #MKR #MakerDao",2023-04-16 18:38:16+00:00,MakerDao Live,en
1647662712380604416,#ALTCOINS are going up! Use https://t.co/LRb24FEYMt to find where CRYPTO MONEY is moving. Find coins with HIGH buyer % and moving in PRICE! #BTC #ETH #CSPR #RPL #INJ #NEO #ICP #LTC #BNB #RNDR #DASH #ATOM #XDC #AXS #CAKE #VET #ZIL #MKR #CRO #BCH https://t.co/90LpvVN3jt,2023-04-16 18:06:17+00:00,Adz Hickman,en
1647660088188891136,"🟢🟢 The current price of one $MKR coin is: $783.61, +0.98284% change in the last hour, +1.58646% change in the last 24 hours. 24H Volume: $30,839,614. Market Cap: $706,041,903. #MKR #MakerDao",2023-04-16 17:55:51+00:00,MakerDao Live,en
1647604097858584579,"The current price of one $MKR coin is: $778.32, +0.05301% change in the last hour, +0.29485% change in the last 24 hours. 24H Volume: $30,021,159. Market Cap: $701,456,576. #MKR #MakerDao",2023-04-16 14:13:22+00:00,MakerDao Live,en
1647588390148136961,"The current price of one $MKR coin is: $777.47, +0.68399% change in the last hour, -0.50875% change in the last 24 hours. 24H Volume: $29,514,498. Market Cap: $700,542,020. #MKR #MakerDao",2023-04-16 13:10:57+00:00,MakerDao Live,en
1647575070792089600,Do you remember when you joined Twitter? I do!(n't) I remember when people used to live-tweet #MKR 🔪🍽 #MyTwitterAnniversary https://t.co/3mnIUrluxm,2023-04-16 12:18:01+00:00,Meela Davis,en
1647574453381996546,"In the past hour, $MKR has gained 4 new holders. The total number of $MKR holders is now 94,587. #MKR #MakerDao https://t.co/CMB7HE587H",2023-04-16 12:15:34+00:00,MakerDao Live,en
1647574422625083393,"The current price of one $MKR coin is: $772.64, -0.15166% change in the last hour, -0.79729% change in the last 24 hours. 24H Volume: $29,981,279. Market Cap: $695,977,008. #MKR #MakerDao",2023-04-16 12:15:27+00:00,MakerDao Live,en
1647571904469819393,"#Arbitrum market capitalization has surpassed former players like #Tezos , #AAVE, #MKR, who's next? ☄️☄️",2023-04-16 12:05:27+00:00,Ryan Abbes,en
1647559728682393601,January 2022 Decentralized Finance Survey. #DeFi #Finance #banking #StableCoin #mkr #makerdao https://t.co/lnKVKutI1h,2023-04-16 11:17:04+00:00,Joe McCormick,en
1647514103122984961,"🟢🟢 The current price of one $MKR coin is: $782.51, -0.4617% change in the last hour, +1.55494% change in the last 24 hours. 24H Volume: $29,984,964. Market Cap: $707,027,069. #MKR #MakerDao",2023-04-16 08:15:46+00:00,MakerDao Live,en
1647505230391660549,#mkrusdt BUY DCA LONG LIMIT BUY 782.32 (-1.34 % 4.1 USD) #MKR $MKR #Maker [+25 2.3h ago] #cryptotrading #megabot https://t.co/q1faMIyJy2,2023-04-16 07:40:30+00:00,M3GAB0T,en
1647499453060771840,"🟢🟢 The current price of one $MKR coin is: $784.87, -0.82928% change in the last hour, +2.02445% change in the last 24 hours. 24H Volume: $29,968,258. Market Cap: $708,177,699. #MKR #MakerDao",2023-04-16 07:17:33+00:00,MakerDao Live,en
1647484489075945472,"🟢🟢🟢🟢 The current price of one $MKR coin is: $793.66, +1.25997% change in the last hour, +3.19719% change in the last 24 hours. 24H Volume: $31,346,393. Market Cap: $715,179,171. #MKR #MakerDao",2023-04-16 06:18:05+00:00,MakerDao Live,en
1647481476135682054,Find moving cryptocurrencies with the most buyers by using https://t.co/LRb24FEYMt to track where most #ALTCOIN movement is happening! #BTC #ETH #INJ #CSPR #WOO #DYDX #NEO #ICP #GRT #GMX #FXS #ROSE #LINK #NEAR #SHIB #XDC #ATOM #MKR #ADA #FIL https://t.co/aCD3j3o2Qy,2023-04-16 06:06:07+00:00,Adz Hickman,en
1647480931710644226,MKRUSDT 15m Near resistance zone #mkr #eth #btc #cryptotrading #cryptocurrency #Crypto #Binance #blockchain #Ethereum #cryptobot https://t.co/VbVI95jaMW,2023-04-16 06:03:57+00:00,Bingo Crypto Scanner,en
1647476249521004544,PUMP : 1-Day Chart (1x!) (NORMAL) Coin : #MKRUSDT Entry : 785.0 R1 : 843.0 (% 6.9) R2 : 948.0 (% 17.2) S1 : 711.0 (% -9.4) Time : 16/04/2023 05:45 (UTC) Chart : https://t.co/n84HXD7sRd #MKR #Bitcoin $MKR,2023-04-16 05:45:21+00:00,CAIR (Pump/Dump),en
1647470398190100481,#mkrusdt BUY BREAKOUT LONG 794.13 (25 USD) #MKR $MKR #Maker #cryptotrading #megabot https://t.co/vTBnLbbARI,2023-04-16 05:22:06+00:00,M3GAB0T,en
1647470333732028417,"In the past hour, $MKR has gained 7 new holders. The total number of $MKR holders is now 94,583. #MKR #MakerDao https://t.co/CMB7HE587H",2023-04-16 05:21:50+00:00,MakerDao Live,en
1647470300165021698,"🟢🟢 The current price of one $MKR coin is: $783.97, -0.01547% change in the last hour, +2.07995% change in the last 24 hours. 24H Volume: $30,020,559. Market Cap: $706,423,060. #MKR #MakerDao",2023-04-16 05:21:42+00:00,MakerDao Live,en
1647461421112762368,"🟢🟢 The current price of one $MKR coin is: $785.15, +0.23949% change in the last hour, +2.16293% change in the last 24 hours. 24H Volume: $30,356,385. Market Cap: $706,951,589. #MKR #MakerDao",2023-04-16 04:46:25+00:00,MakerDao Live,en
1647459827885527040,Swing 🚥 Signals #SAND 🟢 $0.68 #CHZ 🟡 $0.13 #NEO 🟢 $13.60 #CRV 🟡 $1.09 #KLAY 🟢 $0.27 #MKR 🟡 $782.39 #FXS 🟢 $10.33 #MINA 🟡 $0.80 #SNX 🟢 $2.71 #ZEC 🟢 $42.38 https://t.co/xzqH6LyCnS,2023-04-16 04:40:05+00:00,CTS,en
1647449752299008003,Last Trade #Signal #MKR 60.56% #SAND 7.73% #REEF 78.07% #NEAR 45.14% #NEO 41.00% #COTI 87.97% #HNT 27.49% $HOT 22.88% $BNB 73.00% $ONT 41.18% All Details on Bio Total Profit 485.04%,2023-04-16 04:00:03+00:00,Arta,en
1647449749442682881,Last Trade #Signal #MKR 60.56% #SAND 7.73% #REEF 78.07% #NEAR 45.14% #NEO 41.00% #COTI 87.97% #HNT 27.49% $HOT 22.88% $BNB 73.00% $ONT 41.18% All Details on Bio Total Profit 485.04%,2023-04-16 04:00:03+00:00,Moon Girl 💃,en
1647449749144911873,Last Trade #Signal #MKR 60.56% #SAND 7.73% #REEF 78.07% #NEAR 45.14% #NEO 41.00% #COTI 87.97% #HNT 27.49% $HOT 22.88% $BNB 73.00% $ONT 41.18% All Details on Bio Total Profit 485.04%,2023-04-16 04:00:02+00:00,Trading Sweetie 🦋,en
1647449748968726528,Last Trade #Signal #MKR 60.56% #SAND 7.73% #REEF 78.07% #NEAR 45.14% #NEO 41.00% #COTI 87.97% #HNT 27.49% $HOT 22.88% $BNB 73.00% $ONT 41.18% All Details on Bio Total Profit 485.04%,2023-04-16 04:00:02+00:00,AFD Traders,en
1647449746955464704,Last Trade #Signal #MKR 60.56% #SAND 7.73% #REEF 78.07% #NEAR 45.14% #NEO 41.00% #COTI 87.97% #HNT 27.49% $HOT 22.88% $BNB 73.00% $ONT 41.18% All Details on Bio Total Profit 485.04%,2023-04-16 04:00:02+00:00,Trend Maker,en
1647437974068420608,"🟢🟢 The current price of one $MKR coin is: $783.79, +1.05876% change in the last hour, +1.95872% change in the last 24 hours. 24H Volume: $30,654,136. Market Cap: $705,732,958. #MKR #MakerDao",2023-04-16 03:13:15+00:00,MakerDao Live,en
1647423085597933568,"The current price of one $MKR coin is: $772.05, -0.49648% change in the last hour, +0.90347% change in the last 24 hours. 24H Volume: $31,075,077. Market Cap: $694,481,562. #MKR #MakerDao",2023-04-16 02:14:05+00:00,MakerDao Live,en
1647421388242980865,#MKR $MKR Is ready to go. Fasten your seat belt. This thing will fly fly today. https://t.co/AXHE2rxlmP,2023-04-16 02:07:21+00:00,AVS.,en
1647420363184250883,BULLİSH PENNANT... #MKR #BTC 🤫👀 https://t.co/RB7crdSicN,2023-04-16 02:03:16+00:00,Mehmet,en
1647415175815856128,Top 5 #cryptocurrency #price jumps in last minute on #GateIo 👉https://t.co/dwh8jR9uho $SOMM 4.01% $IMX 0.72% $LINK 0.49% $ADS 0.48% $MKR 0.48% #SOMM #IMX #LINK #ADS #MKR #crypto #cryptonews #cryptoAlerts #blockchain #cryptotrading #cryptoprices #altcoins #bitcoin,2023-04-16 01:42:40+00:00,Crypto Frog,en
1647414541117014016,"#MKR identical wave count as algo that i posted a few days ago, ...things that make you shake yo money maker.. get that money maker shaker NFA DYOR you know the rest.. #MKRUSD https://t.co/SZxASxEydf",2023-04-16 01:40:08+00:00,Andrew Griffiths,en
1647407427392790528,"The current price of one $MKR coin is: $776.96, -0.14134% change in the last hour, +0.90802% change in the last 24 hours. 24H Volume: $31,931,672. Market Cap: $699,616,473. #MKR #MakerDao",2023-04-16 01:11:52+00:00,MakerDao Live,en
1647396385765965828,"The MKR system is groundbreaking, but unfortunately not well-known among many Japanese people. The perception of the web in Japan seems to be outdated, lagging behind the rest of the world by five steps. #MKR #DAI",2023-04-16 00:28:00+00:00,底辺の中で,en
1647392224546627585,"The current price of one $MKR coin is: $778.18, +0.83661% change in the last hour, +0.4776% change in the last 24 hours. 24H Volume: $33,268,111. Market Cap: $701,557,011. #MKR #MakerDao",2023-04-16 00:11:28+00:00,MakerDao Live,en
1647377357592748039,"The current price of one $MKR coin is: $771.12, +0.37648% change in the last hour, -0.52434% change in the last 24 hours. 24H Volume: $32,739,988. Market Cap: $695,571,169. #MKR #MakerDao",2023-04-15 23:12:23+00:00,MakerDao Live,en
1647376695899435010,"#mkrusdt SELL LONG LIMIT TP/SL 777.74 (0.14 % 7.3 USD) #MKR $MKR #Maker [+4 98m ago,+25 8h ago] #cryptotrading #megabot https://t.co/yrc99CJtJU",2023-04-15 23:09:45+00:00,M3GAB0T,en
1647362082067607554,"The current price of one $MKR coin is: $767.92, -0.29817% change in the last hour, -0.94418% change in the last 24 hours. 24H Volume: $34,400,306. Market Cap: $692,422,141. #MKR #MakerDao",2023-04-15 22:11:41+00:00,MakerDao Live,en
