TweetID,Tweet,CreatedTime,Language,Author,Category
1648419081861869569,#MKR #MKRimg : 1hour 1min sri low 2023-04-19 05:11:49.776042 https://t.co/X1D8XBP4jC,2023-04-18 20:11:49,en,bitcoin_bot369,Sexism
1648418753175252992,"The current price of one $MKR coin is: $772.84, -0.40689% change in the last hour, -1.65572% change in the last 24 hours.  24H Volume: $27,034,776. Market Cap: $696,695,737.  #MKR #MakerDao",2023-04-18 20:10:31,en,MakerDaoNews,Sexism
1648413767833903104,#MKR #MKRimg : 1hour 1min sri low 2023-04-19 04:50:42.792852 https://t.co/gUmc5v0tyv,2023-04-18 19:50:42,en,bitcoin_bot369,Sexism
1648412658910248961,RT @Bitcointrycom: 📣Maker is Now live on Bitcointry 🔥Trade Opened Now 👉https://t.co/WxgOSiIPwV  @MakerDAO  👀Follow us for more info regardi…,2023-04-18 19:46:18,en,CryptoBrad04,None
1648410335089393666,📣Maker is Now live on Bitcointry 🔥Trade Opened Now 👉https://t.co/WxgOSiIPwV  @MakerDAO  👀Follow us for more info regarding upcoming listings:  🗣Telegram #listing $MKR #bitcointry #MKR https://t.co/Reur9YxGID,2023-04-18 19:37:04,en,Bitcointrycom,None
1648403714116313091,"The current price of one $MKR coin is: $774.8, -0.45433% change in the last hour, -1.52662% change in the last 24 hours.  24H Volume: $27,090,982. Market Cap: $698,326,805.  #MKR #MakerDao",2023-04-18 19:10:45,en,MakerDaoNews,Sexism
1648393463061180416,Last Trade #Signal          #ICX    40.16% $LIT    66.38% $GMT    23.72% #REN    52.28% $BAL    31.20% #MKR    68.89% $ONE    10.03% #SXP    76.20% $TRX    69.87% $ETC    61.37%      All Details on Bio  Total Profit   500.11%,2023-04-18 18:30:01,en,Arta45872635,Sexism
1648393462822371330,Last Trade #Signal          #ICX    40.16% $LIT    66.38% $GMT    23.72% #REN    52.28% $BAL    31.20% #MKR    68.89% $ONE    10.03% #SXP    76.20% $TRX    69.87% $ETC    61.37%      All Details on Bio  Total Profit   500.11%,2023-04-18 18:30:01,en,Trend22Maker,Sexism
1648393462557835264,Last Trade #Signal          #ICX    40.16% $LIT    66.38% $GMT    23.72% #REN    52.28% $BAL    31.20% #MKR    68.89% $ONE    10.03% #SXP    76.20% $TRX    69.87% $ETC    61.37%      All Details on Bio  Total Profit   500.11%,2023-04-18 18:30:01,en,Trading_Sweetie,Sexism
1648393462310420480,Last Trade #Signal          #ICX    40.16% $LIT    66.38% $GMT    23.72% #REN    52.28% $BAL    31.20% #MKR    68.89% $ONE    10.03% #SXP    76.20% $TRX    69.87% $ETC    61.37%      All Details on Bio  Total Profit   500.11%,2023-04-18 18:30:01,en,95MoonGirl,Sexism
1648393461475803139,Last Trade #Signal          #ICX    40.16% $LIT    66.38% $GMT    23.72% #REN    52.28% $BAL    31.20% #MKR    68.89% $ONE    10.03% #SXP    76.20% $TRX    69.87% $ETC    61.37%      All Details on Bio  Total Profit   500.11%,2023-04-18 18:30:01,en,afd_traders,Sexism
1648392642521362432,Now LINK long🚀🚀  $250 coming  💪 ❤️🚀🚀🚀 $link #Chainlink #MKR #LTC #AAVE #COMP #Dash #GMX #OKB #BTC    #LINK #ETC #APT #KCS #DOT #ICP #Filecoin #HT #LEO #TON  #LDO #OP #Metaverse #NFT #NFTs #altcoin #altcoins #gems #1000xgem #100xgem #BNBChain https://t.co/G4HO1Bi4eK,2023-04-18 18:26:46,en,mithialdj,None
1648388769769291777,"The current price of one $MKR coin is: $777.99, -0.22363% change in the last hour, -0.93424% change in the last 24 hours.  24H Volume: $26,817,609. Market Cap: $701,992,586.  #MKR #MakerDao",2023-04-18 18:11:22,en,MakerDaoNews,Sexism
1648378061883310081,"RT @BezosCrypto: $Bitcoin TO $100,000 SOONER THAN YOU THINK‼️💯🙏  #Bitcoin TO $100,000 WHETHER YOU BELIEVE OR NOT‼️💯🙏  $BKKT $CORZQ #StocksI…",2023-04-18 17:28:49,en,Wang_Atek,Sexism
1648374255577358342,"The current price of one $MKR coin is: $779.49, -0.2929% change in the last hour, -0.33407% change in the last 24 hours.  24H Volume: $26,775,494. Market Cap: $702,757,129.  #MKR #MakerDao",2023-04-18 17:13:42,en,MakerDaoNews,Sexism
1647231160550932482,Seem like a fair trade off? #BanIslam https://t.co/FCs5VCckC5,2023-04-15 13:31:27,en,FDW_VB,None
1648434306614984705,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-18 21:12:19,en,Maunyb1,Sexism
1648328665246121986,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-18 14:12:32,en,16RFC90,Sexism
1648301661453000706,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-18 12:25:14,en,sheila_bellwood,Sexism
1648259835475968000,"@Jeremy_Hunt @SteveBakerHW @RishiSunak #BANISLAM stop the invasion, stop benefits to ppl who commit any crime. They’ll soon learn. Sort out our veterans and our homeless before any immigrant, legal and illegal. Get back to proper English education. #BANHALAL and #BANKOSHER",2023-04-18 09:39:02,en,Saulgoo00307032,Sexism
1648248214456262657,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-18 08:52:51,en,Bluesteel543,Sexism
1648242582827282432,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-18 08:30:29,en,Olicanarama,Sexism
1648052415462096897,"@RayUngerer Fuck Islam, fuck the Quran and fuck the peadophile prophet #BanIslam #BanHalal",2023-04-17 19:54:49,en,Lcfced4,Racism
1648009986436374539,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 17:06:13,en,whocntrlthenews,Sexism
1648009088113033217,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 17:02:39,en,rcse51,Sexism
1648007775367118848,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 16:57:26,en,exastal,Sexism
1648004465990017025,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 16:44:17,en,HopScotchBetter,Sexism
1647985874934673409,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 15:30:25,en,SpaceFromGreece,Sexism
1647983590834143238,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 15:21:20,en,abxpat07,Sexism
1647973508918509570,"RT @yalding1666: If these animal rights protesters had any balls, they'd go to the abattoirs and protest about animals being slaughtered wi…",2023-04-17 14:41:17,en,BeeASpaceBoy,Sexism
1646537385298264065,RT @CraigManoukian: #BanIslam #BanShariaLaw #BewareTaqiyya the Quran Hadith and Sira are the Trilogy of Terror 🤬#WakeUpAmerica,2023-04-13 15:34:38,en,CraigManoukian,Sexism
1646536932346957824,#BanIslam #BanShariaLaw #BewareTaqiyya the Quran Hadith and Sira are the Trilogy of Terror 🤬#WakeUpAmerica https://t.co/3mYuNAEw4h,2023-04-13 15:32:50,en,CraigManoukian,Sexism
1646452075318976512,RT @sbhat_7: #Islam @Cobratate do you have a free opinion on this bro? #BanIslam,2023-04-13 09:55:39,en,TanmoyS95449493,None
1646440704116400128,#Islam @Cobratate do you have a free opinion on this bro? #BanIslam https://t.co/IVkBCF0Hnq,2023-04-13 09:10:27,en,sbhat_7,None
1646233421427900457,"@LadyDi53086 @Ste87italy @hack7man No I don't mean a group of Jews who, in order to stay alive fooled the monstrous islamic beast! I mean the centuries long carefully cultivated inbred army of raping thieving murderers who follow the way &amp; writings of the devil! #banislam Dhimmitude by WMD https://t.co/2kolTNk88h https://t.co/ERfgTzcsqL",2023-04-12 19:26:47,en,9SL1M9S1L95,Racism
1645887312704724994,@Aasii No shit!  #BanIslam https://t.co/QoMhu8UP6p,2023-04-11 20:31:29,en,djdun3,None
1645720386062159874,@MuslimsofTiktok This cult should be banned #banislam,2023-04-11 09:28:10,en,saitan_himanshu,Sexism
1645538058127958017,"RT @desi_diva1: @Abdulla_Alamadi Effectively???   Are you serious?  WTAF!  Mughal invaders looted, raped, slaughtered and forced Islamic co…",2023-04-10 21:23:40,en,NikhilJ2020,Sexism
1645502907620491268,@BFirstParty @ByrneBarry WTAF is happening to our country? #BANISLAM #BANHALAL,2023-04-10 19:03:59,en,Saulgoo00307032,Sexism
1645475250275233792,"RT @desi_diva1: Effectively???   Are you serious?  WTAF!  Mughal invaders looted, raped, slaughtered and forced Islamic conversions upon it…",2023-04-10 17:14:05,en,Straightspeak,Sexism
1648491362793451520,RT @redsc00ter: groupies getting smashed after the show 😍♠️❄️  #interracial #bbc #amateur #blackbred #bnwo #sysbm #whitegenocide #blacked #…,2023-04-19 00:59:03,en,Thesava73541695,Racism
1648490753516253185,"RT @redsc00ter: black men, make a white woman the mother of your children 😍🐰♠️👩🏼‍❤️‍👨🏿   #interracial #bbc #amateur #blackbred #bnwo #sysbm…",2023-04-19 00:56:37,en,Thesava73541695,Racism
1648490734918713345,RT @redsc00ter: getting fucked like a whore by her super hung bull while her husband records ♠️🐰❄️  #interracial #bbc #amateur #blackbred #…,2023-04-19 00:56:33,en,Thesava73541695,Racism
1648490196206518272,RT @genz_whiteboi: Your innocent little white daughter has a new daddy. Her new daddy ruined her pussy last night.♠️ #WhiteGeNocide #bbc #B…,2023-04-19 00:54:24,en,DaReesery,Sexism
1648489906690473984,"RT @SashaSissyfag: Daily apology. I’m sorry for being a pathetic white boi Retweet,Reply and Like @xobslik #sissy #BNWO #BNWO4LIFE #saynoto…",2023-04-19 00:53:15,en,LimpPathetic,Racism
1648489598073597955,"RT @SashaSissyfag: Daily apology. I’m sorry for being a pathetic white boi Retweet,Reply and Like #sissy #sissyforblacks #bnwo #BNWO4LIFE #…",2023-04-19 00:52:02,en,GoonForNicki,Racism
1648489559431458817,"RT @SashaSissyfag: Daily apology. I’m sorry for being a pathetic white boi Retweet,Reply and Like @Miriada00 #sissy #sissyforblacks #bnwo #…",2023-04-19 00:51:53,en,GoonForNicki,Racism
1648489541366599680,"RT @SashaSissyfag: Daily apology. I’m sorry for being a pathetic white boi Retweet,Reply and Like @black16699  #sissy #sissyforblacks #bnwo…",2023-04-19 00:51:48,en,GoonForNicki,Racism
1648485609735065601,@MagicBelle1 So as to advance #WhiteGeNocide.,2023-04-19 00:36:11,en,White_Sabath,Sexism
1648480988769705989,"Daily apology. I’m sorry for being a pathetic white boi Retweet,Reply and Like @xobslik #sissy #BNWO #BNWO4LIFE #saynotowhitebois #whiteboibeatdown #BLACKED #bbc #bbcsissy #blackowned #BlackOnWhiteViolence #WhiteGeNocide #blackdicksmatter https://t.co/FhtDeSNJE6",2023-04-19 00:17:49,en,SashaSissyfag,Racism
1648480742018809857,"RT @MajorZeh: Democrats don't want a race war, they want White genocide.  They'll tell you to ""stop trying to divide us"" when you notice in…",2023-04-19 00:16:50,en,Lego_Ghost24,Sexism
1648478298606022658,RT @ThiccSissy_BNWO: I'm just gonna leave this here... 💯  𝘿𝙊𝙉'𝙏 𝙁𝙐𝘾𝙆 𝙒𝙃𝙄𝙏𝙀𝙎.  #bnwo #bbc #snowbunny #breedblack #blacksupremacy #whitegenoc…,2023-04-19 00:07:08,en,FagslutBNWO1,Sexism
1648477760116117506,RT @genz_whiteboi: Centuries of full white bloodline got ended by this little white girl♠️ #WhiteGeNocide #BNWO #BBC #bbc #BNWO #whitegirls…,2023-04-19 00:04:59,en,locks_h_eart,Sexism
1648477209781485569,RT @genz_whiteboi: She's been converted by the power of superior BBC. She will never feel a whiteboi inside her pussy again.♠️♠️♠️ #BNWO #W…,2023-04-19 00:02:48,en,uhhdjuuun,None
1648476997688127494,RT @braindeadvirgin: Your daughter lets black men treat her like a fleshlight   #BNWO #BLACKED #Snowbunny #Breedblack #WhiteGeNocide https:…,2023-04-19 00:01:58,en,vons502,Racism
1648476161398411273,RT @west4evr: Diversity is code for #WhiteGeNocide,2023-04-18 23:58:38,en,piedmontian11,Sexism
1648475505132437506,RT @genz_whiteboi: Your innocent little white daughter has a new daddy. Her new daddy ruined her pussy last night.♠️ #WhiteGeNocide #bbc #B…,2023-04-18 23:56:02,en,Bigboyjay2021,Sexism
1648475311976353793,RT @genz_whiteboi: This is the new normal!♠️ White genocide can't be stopped!♠️ #BNWO #snowbunny #whiteboi #whiteraceisgoingextinct #sissy…,2023-04-18 23:55:16,en,DianaKamal32,Sexism
1648472980266299402,RT @FitzInfo: Oceanic Whitetips #kalergiplan #whitelivesmatter #whitegenocide @DuchesneRicardo @TOOEdit @RealBugSmasher #England #Ireland #…,2023-04-18 23:46:00,en,fastrider600,Sexism
1648472126071128067,RT @genz_whiteboi: The mainstream media and social media sites are pushing the BNWO. They made all white girl dream of having a black boyfr…,2023-04-18 23:42:36,en,OkSonicricky,Sexism
1648471545130668040,RT @genz_whiteboi: As you can see your sister joined the BNWO. She doesn't care about your family or your race anymore. She only cares abou…,2023-04-18 23:40:18,en,OkSonicricky,Sexism
1648470662397448192,RT @redsc00ter: She could barely fit that niggas fat black dick in her pretty white mouth 😉 he fucked her so good   #interracial #bbc #pawg…,2023-04-18 23:36:47,en,Asjfjej2,Sexism
1648470656718372864,@EvaVlaar It's about #WhiteGenocide. No other group is being bombarded with sterilization and miscegenation propaganda 24/7 365 days a year. https://t.co/JgQy7gzRRq,2023-04-18 23:36:46,en,SanguineUltima,Sexism
1648470582638546944,RT @redsc00ter: assuming the fucking position so her black daddy can beat that pretty white pussy up 😍🐰♠️  #interracial #bbc #sysbm #whiteg…,2023-04-18 23:36:28,en,Asjfjej2,Racism
1648470478682738688,"RT @redsc00ter: she wants that nigga seed so bad, look how good she eats that big black dick up 😍🐰♠️  #interracial #bbc #snowbunny #pov #bl…",2023-04-18 23:36:03,en,Asjfjej2,Sexism
1646942399464087561,@FutSheriff @Criminal__x how are there gonna be icon and hero women on fifa when they didnt have rights back then ????? #notsexist,2023-04-14 18:24:01,en,Dablit14,Sexism
1646720388926406656,Love women who have a taste for good whiskey #notsexist,2023-04-14 03:41:49,en,dasspeak,None
1648434158639927301,"In #Islam, it is instructed that property, wealth, and resources should be distributed equally among all segments of #society to enable the less fortunate to sustain themselves. #ItikafCity2023",2023-04-18 21:11:44,en,TahirulQadri,Sexism
1648435123942199296,"The #economic principle of #Islam is based on the concept of the fair distribution of wealth. If someone is facing economic hardship or deprivation, they should be provided with the necessary support and resources to help them sustain themselves. #ItikafCity2023",2023-04-18 21:15:34,en,TahirulQadri,None
1648276110755389441,"“Fasting is a lost art in America” I wonder if he knows about #Ramadan as Muslims do this as a pillar of #Islam for an entire month, go ahead and name the other parts of the year that we fast like Mondays and Thursdays as an optional encouraged Sunnah (No food or water) https://t.co/sOTKbYarC7",2023-04-18 10:43:42,en,TheDeenShow,Sexism
1648491254270029824,RT @JoramvKlaveren: Many countries in Europe have a veiled islamic heritage. In Portugal for example they expres their hopes with “oxalá” w…,2023-04-19 00:58:37,en,amer_mokhtar,None
1648491211026755587,The Brothers Project serving the local community in Waltham Forest daily during Ramadan since 2020.   Follow our journey serving the community with hot meals every evening.   #London #WalthamForest #Islam #Iftar #Like #Share #Leyton #Walthamstow #Not4profit https://t.co/HzjKviyVSo,2023-04-19 00:58:26,en,TheBrosProject_,Sexism
1648490976921669632,RT @ZahidDOAM: “Men Don’t Offer Salah At Home”  A child in #Yemen cries as he missed Salah in Masjid.   #Islam https://t.co/SSspAPdSBz,2023-04-19 00:57:31,en,ExBBComerfarooq,Sexism
1648490974035980290,"RT @TahirulQadri: In #Islam, it is instructed that property, wealth, and resources should be distributed equally among all segments of #soc…",2023-04-19 00:57:30,en,sultana71451151,Sexism
1648490762252992518,"RT @farazmfateh: Reason for growing oppression angst Muslim across the globe is not #Islam but the nation-state, national interest and curr…",2023-04-19 00:56:39,en,alpuaraj,Sexism
1648490717680140297,@abdul_khader786 @sufiismm Urdu was also started in India so if you embrace one do not forget other languages that you have in your own country. #embraceeveryculture #pakistan not just one religion or one language because that's not is #islam .,2023-04-19 00:56:29,en,MultaniAnmol,None
1648490491623915523,RT @UK__renegade: Bragging about Islam being the fastest growing religion is like bragging that cancer is the the fastest growing leading c…,2023-04-19 00:55:35,en,hipster1971,Sexism
1648490392432807941,RT @muftisalman_: Insha'Allah tonight 27th Ramadan. Join us for this Big Night at 📌 Mufti-E-Azam #Ghatkopar  #muftisalmanazhari #islam #Pro…,2023-04-19 00:55:11,en,ReshmaAnsarii,Sexism
1648490387202527236,Azaja wants us to be more serious about the afterlife and find comfort once your ready to leave the dunya #azaja #princess #islam,2023-04-19 00:55:10,en,Azzayabaddie,None
1648490320966070273,The turn of life  #eidulfitr2023 #ChampionsLeague #younggirls #JHOPE #islam #UntilWeMeetAgainJHOPE https://t.co/6HBnYcIM95,2023-04-19 00:54:54,en,AlishbasA39369,Sexism
1648490256268926978,"*in the name of #Allah, the most #Gracious, the most #Merciful   Ramadan Dua Day 27   DOWNLOAD #FREE ALL-IN-ONE #ISLAMIC APP. 👇  https://t.co/8TlZNPvCSS   #islam #Muslim #Quran #Dua #Ramadan #Muhammad (Pbuh) #Salah #Namaz #eid #eidulfitr #eidmubarak #eiduladha #bakrieid #2023 https://t.co/qPJYt0V8y1",2023-04-19 00:54:39,en,islamproapp,None
1648489856585302020,RT @ZahidDOAM: “Men Don’t Offer Salah At Home”  A child in #Yemen cries as he missed Salah in Masjid.   #Islam https://t.co/SSspAPdSBz,2023-04-19 00:53:03,en,itweethetruth,Sexism
1648275669598752768,RT @OnePathNetwork: Our entire faith is “I Love You” 💚 #faith #islam https://t.co/ugGTZ6nw7g,2023-04-18 10:41:57,en,madao_ossan11,None
1648274806390030338,Preservation of the Quran [Part 4] | Najma Khota talks to Qari Basheer Patel a Teacher of quranic sciences at jaamia Al Tawheed (a division of Al Tawheed Foundation)  #Education #Quraan #Ramadan #Islam #Muslim https://t.co/vX5v1xqxQj,2023-04-18 10:38:31,en,SalaamediaLive,Sexism
1648274588105834497,"This Maulana, the follower of Mohammed, does not spare not only women but also girls and children, they make them victims of their lust!!! #QuranHour #Islam #imam https://t.co/9hbv0azN34",2023-04-18 10:37:39,en,MUKESH07894,Sexism
1648274219732545541,🖥👍 on YouTube: Birth rates? #fyp #foryou #fypシ #islam #islamic #allah #god #quran #tiktok #viral #youtube #video https://t.co/W1NxKt6gIQ https://t.co/xJHBukMwKG,2023-04-18 10:36:12,en,LanHatari,Sexism
1648274084109733888,RT @RFupdates: The Achilles' Heel of Islam! #Apologetics #Islam https://t.co/AiZapvEkMl,2023-04-18 10:35:39,en,SaeidPeydayesh,Sexism
1648274060420194305,"Islam is very beautiful, wise religion, which feel thoughts and words with noble, dignity, energy, lifts the soul to a new height.  #RamadanMubarak #Ramadan #Islam #Mosque #Dubai https://t.co/aWpnuPwNCH",2023-04-18 10:35:34,en,katrin3377,None
1648273835857260545,"RT @Islamchannel: Fiona, who has nearly 1M followers on TikTok, changed her name to Zainab after she accepted Islam at Islamic Information…",2023-04-18 10:34:40,en,D3s1_Irfan,Sexism
1648273653581369344,"RT @Timurid_Mughal: The Moti Masjid (Pearl Mosque), located within the Agra fort, which was commissioned by the Timurid-Mughal emperor Shah…",2023-04-18 10:33:57,en,OMERAZA,Sexism
1648273622660706305,"RT @Timurid_Mughal: The Moti Masjid (Pearl Mosque), located within the Agra fort, which was commissioned by the Timurid-Mughal emperor Shah…",2023-04-18 10:33:49,en,jam7702,Sexism
1648273336575856640,RT @rudol9h: A female Indonesian #Quran teacher returns to Allah in a mosque while reciting Quran in the blessed month of #Ramadan.   May A…,2023-04-18 10:32:41,en,rida_1606,Sexism
